koi_id,planet_designation,p_orb_days,a_AU,r_pl_earth,teff,r_star_rsol,insolation_flux_F_E
Kepler-915,b,4.59,0.06,1.50,6173,1.38,746.66
Kepler-916,b,32.30,0.19,1.76,5248,0.81,12.63
Kepler-918,b,4.85,0.06,1.74,6028,1.14,456.15
Kepler-922,b,0.94,0.02,1.42,5671,0.93,2359.59
Kepler-923,b,6.93,0.07,1.38,5988,1.26,337.27
Kepler-1114,b,14.97,0.11,1.35,5374,0.83,40.01
Kepler-1115,b,23.55,0.19,1.70,8480,1.73,392.45
Kepler-1117,b,4.79,0.05,1.11,5612,0.93,257.48
Kepler-1119,b,8.33,0.08,1.92,6083,1.17,242.63
Kepler-1120,b,2.95,0.04,1.38,4904,0.74,207.00
Kepler-1121,b,13.15,0.12,1.91,6231,1.59,242.63
Kepler-1123,b,4.34,0.05,1.67,5500,0.90,257.42
Kepler-1124,b,2.85,0.03,1.28,3658,0.34,24.13
Kepler-1125,b,17.67,0.13,1.84,5683,0.94,48.53
Kepler-1126,b,108.59,0.43,1.73,5798,0.93,4.67
Kepler-1127,b,5.12,0.06,1.96,5664,0.95,251.36
Kepler-157,b,1.73,0.03,1.32,5774,1.04,1375.80
Kepler-158,c,28.55,0.16,1.90,4623,0.62,6.31
Kepler-160,b,4.31,0.05,1.54,5857,0.88,327.06
Kepler-162,b,6.92,0.07,1.26,5816,0.96,198.72
Kepler-163,b,7.81,0.08,1.05,5776,0.92,138.93
Kepler-164,b,5.04,0.06,1.41,5888,1.15,423.94
Kepler-167,b,4.39,0.05,1.62,4890,0.73,117.19
Kepler-167,c,7.41,0.07,1.55,4890,0.73,58.43
Kepler-927,b,9.11,0.09,1.72,5743,0.99,132.03
Kepler-928,b,3.93,0.04,1.59,4700,0.70,111.28
Kepler-929,b,0.92,0.02,1.11,5869,1.02,3204.90
Kepler-931,b,8.04,0.07,1.33,5241,0.81,79.63
Kepler-932,b,1.92,0.03,1.37,5331,0.84,613.13
Kepler-936,b,10.56,0.09,1.45,5482,0.89,76.44
Kepler-939,b,14.88,0.11,1.75,5471,0.85,45.11
Kepler-946,b,11.79,0.10,1.93,5665,0.93,81.01
Kepler-948,b,7.77,0.08,1.85,5679,0.94,143.77
Kepler-167,d,21.80,0.14,1.19,4890,0.73,13.85
